product_code,product_name,color,color_new,color_match
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,Unknown,False
000333002022000,Xe đạp Thống Nhất Super 26 xanh,xanh,Unknown,False
000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,Unknown,False
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,Unknown,False
000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,Coban,Unknown,False
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,Unknown,False
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,Unknown,False
000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,Đỏ tươi,Unknown,False
000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,Đỏ tươi,Unknown,False
1030010000080000,Xe đạp Thống Nhất TE Batman12 Ghi,Ghi,Unknown,False
000131002007000,Xe đạp Thống Nhất GN 06 20 Coban,Coban,Unknown,False
000401002016002,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",Ngọc,Unknown,False
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,Unknown,False
1000300050010000,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),Đen,Unknown,False
000218004005000,Xe đạp Thống Nhất GN 06-27 2.0 Pro Cam,Cam,Unknown,False
1000270020150000,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,Café/nâu,Unknown,False
1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Xanh dương,Unknown,False
000117002023000,Xe đạp thống nhất TE Bunny 16 Kem,Kem,Unknown,False
1000210020090000,Xe đạp Thống Nhất TE Love 12 Hồng,Hồng,Unknown,False
1000220020090000,Xe đạp Thống Nhất TE Love 16 Hồng,Hồng,Unknown,False
1040010000080000,Xe đạp Thống Nhất TE Batman16 Ghi,Ghi,Unknown,False
000218002007000,Xe đạp Thống Nhất GN 06-27 Coban,Coban,Unknown,False
000225002007000,Xe đạp Thống Nhất New 26 Coban,Coban,Unknown,False
000224002009000,Xe đạp Thống Nhất New 24 Hồng,Hồng,Unknown,False
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,Unknown,False
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,Unknown,False
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,Unknown,False
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,Unknown,False
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,Unknown,False
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,Unknown,False
000125002002000,Xe đạp Thống Nhất Puppy 20 Trắng,Trắng,Unknown,False
1000240020090000,Xe đạp Thống Nhất TE Bunny 16 Hồng,Hồng,Unknown,False
1000240020220000,Xe đạp Thống Nhất TE Bunny 16 Xanh dương,Xanh dương,Unknown,False
1000230020090000,Xe đạp Thống Nhất TE Bunny 12 Hồng,Hồng,Unknown,False
1000220020220000,Xe đạp Thống Nhất TE Love 16 Xanh dương,Xanh dương,Unknown,False
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,Unknown,False
000333002001000,Xe đạp Thống Nhất Super 26 đen,đen,Unknown,False
1000300050080000,Xe đạp Thống Nhất MTB SPD 27.5 ( Ghi),Ghi,Unknown,False
000217003005000,Xe đạp Thống Nhất GN 06-26 2.0 Cam,Cam,Unknown,False
000218003008000,Xe đạp Thống Nhất GN 06-27 2.0 Ghi,Ghi,Unknown,False
000218003001000,Xe đạp Thống Nhất GN 06-27 2.0 Đen,Đen,Unknown,False
000218003005000,Xe đạp Thống Nhất GN 06-27 2.0 Cam,Cam,Unknown,False
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,Unknown,False
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,Unknown,False
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,Unknown,False
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,Unknown,False
000401002022000,"Xe đạp Thống Nhất Nữ Lốp đỏ, Xanh dương",Xanh dương,Unknown,False
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,Unknown,False
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,Unknown,False
000225002009000,Xe đạp Thống Nhất New 26 Hồng,Hồng,Unknown,False
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,Unknown,False
000330002001000,Xe đạp Thống Nhất MTB 24-03 Đen,Đen,Unknown,False
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,Unknown,False
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,Unknown,False
000314002005000,Xe đạp Thống Nhất MTB 24-04 Tem cam,Tem cam,Unknown,False
1000340010090000,"Xe đạp Thống Nhất TE The Powerpuff Girls 12"" Hồng",Hồng,Unknown,False
1000250020050000,Xe đạp Thống Nhất TE Robot 16 Cam,Cam,Unknown,False
1000330010240000,"Xe đạp Thống Nhất The Powerpuff Girls 16"" Tím",Tím,Unknown,False
000124002009000,Xe đạp Thống Nhất Neo 2004 Hồng,Hồng,Unknown,False
1000320010090000,"Xe đạp Thống Nhất Wonder Woman 20"" Hồng",Hồng,Unknown,False
000227002009000,Xe đạp Thống Nhất LD 24-02 Hồng,Hồng,Unknown,False
000330002002200,Xe đạp Thống Nhất MTB 24-03 Xanh dương,Xanh dương,Unknown,False
000231003002000,Xe đạp Thống Nhất M2601 Trắng,Trắng,Unknown,False
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,Unknown,False
000304002004000,Xe đạp Thống Nhất MTB 20-04 Tem đỏ,Tem đỏ,Unknown,False
000314002019000,Xe đạp Thống Nhất MTB 24-04 Tem vàng,vàng,Unknown,False
000217004005000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Cam,Cam,Unknown,False
000123002009000,Xe đạp Thống Nhất Neo 20-03 Hồng,Hồng,Unknown,False
1000250020220000,Xe đạp Thống Nhất TE Robot 16 Xanh dương,Xanh dương,Unknown,False
000314002020000,Xe đạp Thống Nhất MTB 24-04 Tem Xanh da trời,trời,Unknown,False
000217004008000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Ghi,Ghi,Unknown,False
000413002001000,Xe đạp Thống Nhất Highway 27.5 Đen bóng,bóng,Unknown,False
000413002003000,Xe đạp Thống Nhất Highway 27.5 Đỏ đun,Đỏ đun,Unknown,False
000413002022000,Xe đạp Thống Nhất Highway 27.5 Xanh dương,Xanh dương,Unknown,False
000208002007000,Xe đạp Thống Nhất 219-24 Coban,Coban,Unknown,False
000216002007000,Xe đạp Thống Nhất GN 06-24 Coban,Coban,Unknown,False
000216003005000,Xe đạp Thống Nhất GN 06-24 2.0 Cam,Cam,Unknown,False
100029005001000,Xe đạp Thống Nhất Touring Blade 700C Đen,Đen,Unknown,False
100029005020000,Xe đạp Thống Nhất Touring Blade 700C Xanh,Xanh,Unknown,False
000208002023000,Xe đạp Thống Nhất 219-24 Xanh Tím,Xanh Tím,Unknown,False
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,Unknown,False
1000260020220000,Xe đạp Thống Nhất TE Spaceboy 12 Xanh dương,Xanh dương,Unknown,False
000335002013000,Xe đạp Thống Nhất Super 24 Xanh,Xanh,Unknown,False
000217002001000,Xe đạp Thống Nhất GN 06-26 Đen,Đen,Unknown,False
000218002001000,Xe đạp Thống Nhất GN 06-27 Đen,Đen,Unknown,False
000215004000000,Xe đạp Thống Nhất GN 05-27,05-27,Unknown,False
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,Unknown,False
000324000180000,Xe đạp Thống Nhất MTB 26-05_2023 Đen mờ,mờ,Unknown,False
000123002007000,Xe đạp Thống Nhất Neo 20-03 Coban,Coban,Unknown,False
000329002005000,Xe đạp Thống Nhất MTB 26-07 Tem cam,Tem cam,Unknown,False
000329002004001,Xe đạp Thống Nhất MTB 26-07 Tem đỏ,Tem đỏ,Unknown,False
1000350050220000,"Xe đạp Thống Nhất MTB Cyper 2024 27.5""  Ghi",Ghi,Unknown,False
100028005020000,Xe đạp Thống Nhất MTB Cyper 27.5 Xanh,Xanh,Unknown,False
1050010000200000,Xe đạp Thống Nhất TE Super Man 12 Xanh,Xanh,Unknown,False
000217002003000,Xe đạp Thống Nhất GN 06-26 Đỏ đun,Đỏ đun,Unknown,False
000324000040000,Xe đạp Thống Nhất MTB 26-05_2023 Đỏ đun,Đỏ đun,Unknown,False
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,Unknown,False
000231003005000,Xe đạp Thống Nhất M2601 Đen Tem cam,Tem cam,Unknown,False
000218004008000,Xe đạp Thống Nhất GN 06-27 2.0 Pro Ghi,Ghi,Unknown,False
1010020000050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Cam",Cam,Unknown,False
000231003022000,Xe đạp Thống Nhất M2601 Xanh dương,Xanh dương,Unknown,False
000304002019000,Xe đạp Thống Nhất MTB 20-04 Tem Vàng,Vàng,Unknown,False
000305002022000,Xe đạp Thống Nhất MTB 20-05 Xanh dương,Xanh dương,Unknown,False
000209002007000,Xe đạp Thống Nhất 219-26 Coban,Coban,Unknown,False
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,Unknown,False
000131002004005,Xe đạp Thống Nhất GN 06 20 2024 Đỏ,Đỏ,Unknown,False
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,Unknown,False
000131002019002,Xe đạp Thống Nhất GN 06 20 2024 Vàng,Vàng,Unknown,False
