customer_code,frequency,recency,T,customer_name,region,province_name,total_revenue,prob_alive,predicted_orders_30d,is_new_dealer,segment,priority_score
KH-00359,9.0,10.0,11.0,CÔNG TY CỔ PHẦN VẠN LỢI,Miền Bắc,Hà Nội,818483405.0,0.9628838949554839,2.768134975107452,False,Likely to Buy,2.6654
KH-00386,8.0,11.0,11.0,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Miền Bắc,Hà Nam,852358885.0,0.9790728979919533,2.514381416884204,False,Likely to Buy,2.4618
KH-00404,7.0,10.0,10.0,HỘ KINH DOANH PHÚ THỊNH,Miền Trung,Thanh Hóa,562369951.0,0.9759614413636509,2.3772745574761807,False,Likely to Buy,2.3201
KH-00453,7.0,10.0,10.0,CÔNG TY TNHH YÊN BÌNH,Miền Bắc,Ninh Bình,484731756.0,0.9759614413636509,2.3772745574761807,False,Likely to Buy,2.3201
KH-00486,6.0,9.0,9.0,CÔNG TY TNHH VẠN LỢI,Miền Bắc,Bắc Ninh,388323052.0,0.9717631689458053,2.2169841880515615,False,Likely to Buy,2.1544
KH-00385,7.0,10.0,11.0,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Miền Bắc,Hải Dương,770505945.0,0.958593485652007,2.167778658594201,False,Likely to Buy,2.078
KH-00338,7.0,10.0,11.0,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Miền Bắc,Hà Nội,953291489.0,0.958593485652007,2.167778658594201,False,Likely to Buy,2.078
KH-00659,5.0,6.0,7.0,CỬA HÀNG XE ĐẠP QUANG VINH,Miền Bắc,Phú Thọ,648205036.0,0.9399961242013528,2.1709617815397952,False,Likely to Buy,2.0407
KH-00414,6.0,9.0,10.0,HỘ KINH DOANH ĐẠI LỢI,Miền Bắc,Hà Nội,328657864.0,0.9531491868565611,2.0067928080461273,False,Likely to Buy,1.9128
KH-00426,6.0,9.0,10.0,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Miền Bắc,Thái Nguyên,485650652.0,0.9531491868565611,2.0067928080461273,False,Likely to Buy,1.9128
KH-00435,6.0,9.0,10.0,DOANH NGHIỆP TW NGỌC ANH,Miền Bắc,Hà Nội,140585893.0,0.9531491868565611,2.0067928080461273,False,Likely to Buy,1.9128
KH-00605,5.0,7.0,8.0,CÔNG TY CỔ PHẦN VĨNH PHÁT,Miền Bắc,Hải Phòng,483551668.0,0.9431901723527865,1.9795498853163331,False,Likely to Buy,1.8671
KH-00377,6.0,11.0,11.0,DOANH NGHIỆP TW PHÚ THỊNH,Miền Bắc,Hà Nội,423562127.0,0.9717631689458053,1.8995182657779996,False,Likely to Buy,1.8459
KH-00722,3.0,4.0,4.0,CÔNG TY TNHH PHÚ THỊNH,Miền Bắc,Hưng Yên,189144950.0,0.9406861186132327,1.9515798505518898,True,New Dealer,1.8358
KH-00501,5.0,9.0,9.0,CÔNG TY CỔ PHẦN VĨNH PHÁT,Miền Trung,Thanh Hóa,219783839.0,0.9657881589244458,1.857553418442655,False,Likely to Buy,1.794
KH-00489,5.0,9.0,9.0,CÔNG TY CỔ PHẦN ĐÔNG NAM,Miền Bắc,Hà Nam,258502162.0,0.9657881589244458,1.857553418442655,False,Likely to Buy,1.794
KH-00488,5.0,9.0,9.0,CÔNG TY TNHH TRƯỜNG THỊNH,Miền Bắc,Ninh Bình,352895228.0,0.9657881589244458,1.857553418442655,False,Likely to Buy,1.794
KH-00503,5.0,9.0,9.0,DOANH NGHIỆP TW PHÚ THỊNH,Miền Bắc,Hà Nội,277846036.0,0.9657881589244458,1.857553418442655,False,Likely to Buy,1.794
KH-00372,6.0,10.0,11.0,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Miền Trung,Thanh Hóa,879429808.0,0.9549034479108913,1.8665623470056483,False,Likely to Buy,1.7824
KH-00364,6.0,10.0,11.0,DOANH NGHIỆP TW XUÂN MAI,Miền Bắc,Hải Phòng,586736727.0,0.9549034479108913,1.8665623470056483,False,Likely to Buy,1.7824
KH-00463,5.0,8.0,9.0,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,Miền Bắc,Hà Nội,736440702.0,0.9456902746438935,1.8188980535949635,False,Likely to Buy,1.7201
KH-00458,5.0,9.0,10.0,HỘ KINH DOANH VẠN LỢI,Miền Trung,Hà Tĩnh,254759834.0,0.9476984014718833,1.6822123339177226,False,Likely to Buy,1.5942
KH-00349,5.0,11.0,11.0,HỘ KINH DOANH TRƯỜNG THỊNH,Miền Bắc,Hà Nội,518577279.0,0.9657881589244458,1.5916376934709688,False,Likely to Buy,1.5372
KH-00447,5.0,8.0,10.0,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Miền Bắc,Hà Nội,172513570.0,0.917877241195695,1.6292782743578156,False,Likely to Buy,1.4955
