fiscal_year,fiscal_month,product_code,product_name,group_code,group_name,line_name,color,avg_unit_price,forecast_qty_base,forecast_revenue_base,forecast_qty_conservative,forecast_qty_optimistic,forecast_revenue_conservative,forecast_revenue_optimistic,calibration_factor,selected_forecast_model,forecast_selection_type
2026,4,000225002023000,Xe đạp Thống Nhất New 26 Kem,CITYBIKE_P,Xe phổ thông,Xe New 26,Kem,1597262.1921875,926.7500000000001,1480262736.6097658,741.4000000000001,1112.1000000000001,1184210189.2878127,1776315283.9317188,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000230002023000,Xe đạp Thống Nhất LD 26 Kem,CITYBIKE_P,Xe phổ thông,Xe LD 26,Kem,1740337.818906606,586.9599999999999,1021508686.1854213,469.568,704.3519999999999,817206948.9483371,1225810423.4225054,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000224002023000,Xe đạp Thống Nhất New 24 Kem,CITYBIKE_P,Xe phổ thông,Xe New 24,Kem,1466116.6109090908,692.6700000000001,1015534992.8784001,554.1360000000001,831.2040000000001,812427994.3027201,1218641991.45408,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Kem,1626264.9767741936,475.97,774053340.9952129,380.77600000000007,571.164,619242672.7961705,928864009.1942555,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Đen,1614963.2570579494,463.87,749133006.051471,371.096,556.644,599306404.8411769,898959607.2617652,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe New 26,Nâu,1592216.6708683474,459.69,731926081.4314706,367.752,551.6279999999999,585540865.1451765,878311297.7177646,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000230002013000,Xe đạp Thống Nhất LD 26 Pastel Xanh,Unknown,Unknown,Unknown,Xanh Pastel,1740989.9767441861,388.52000000000004,676409425.7646513,310.81600000000003,466.22400000000005,541127540.611721,811691310.9175816,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000225002002000,Xe đạp Thống Nhất New 26 Trắng,CITYBIKE_P,Xe phổ thông,Xe New 26,Trắng,1675762.1794117647,387.64,649592451.2271764,310.112,465.16799999999995,519673960.98174125,779510941.4726117,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Hồng,1277762.4387755103,503.58,643455608.9185715,402.86400000000003,604.2959999999999,514764487.13485724,772146730.7022856,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000331002001000,Xe đạp Thống Nhất MTB 26-02 đen,Unknown,Unknown,Unknown,Đen,1764167.286245353,332.86,587220722.8996283,266.288,399.432,469776578.31970257,704664867.4795539,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000230002009000,Xe đạp Thống Nhất LD 26 Pastel Hồng,Unknown,Unknown,Unknown,Hồng Pastel,1740329.6946564885,310.75,540807452.6145037,248.60000000000002,372.9,432645962.0916031,648968943.1374046,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Ghi,1559236.0052447552,345.84,539246180.0538461,276.67199999999997,415.008,431396944.0430769,647095416.0646154,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,CITYBIKE_P,Xe phổ thông,Xe New 26,Xanh Mint,1561772.0697115385,293.59,458520661.94661057,234.87199999999999,352.30799999999994,366816529.55728847,550224794.3359326,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,CITYBIKE_P,Xe phổ thông,Xe MTB 26 02,Ghi,1748290.7722772278,257.62,450394668.75405943,206.096,309.144,360315735.00324756,540473602.5048714,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",CITYBIKE_P,Xe phổ thông,Xe Nữ,Xanh Ngọc,1533200.100609756,270.71,415052599.23606706,216.56799999999998,324.852,332042079.3888536,498063119.08328044,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000337002001000,Xe đạp Thống Nhất SK 24 đen,Unknown,Unknown,Unknown,Đen,1608520.7582781457,256.74,412971619.4803311,205.39200000000002,308.088,330377295.58426493,495565943.3763974,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe New 24,Nâu,1499410.415954416,272.90999999999997,409204096.6181196,218.32799999999997,327.49199999999996,327363277.2944957,491044915.9417435,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000207004000000,Xe đạp Thống Nhất 219-05-26,CITYBIKE_P,Xe phổ thông,Xe 219-05-26,Unknown,1409233.9189189188,267.74,377308289.45135134,214.192,321.288,301846631.56108105,452769947.3416216,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000336002001000,Xe đạp Thống Nhất SK 20 đen,Unknown,Unknown,Unknown,Đen,1362767.0405405406,259.16,353174706.2264865,207.32800000000003,310.992,282539764.98118925,423809647.4717838,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,CITYBIKE_P,Xe phổ thông,Xe New 24,Xanh Mint,1474291.9835616439,237.48999999999998,350129603.1760548,189.992,284.98799999999994,280103682.54084384,420155523.8112657,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,CITYBIKE_P,Xe phổ thông,Xe GN 06-24 2.0,Ghi,1469473.446969697,230.34,338478513.77500004,184.27200000000002,276.408,270782811.02000004,406174216.53000003,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000224002002000,Xe đạp Thống Nhất New 24 Trắng,CITYBIKE_P,Xe phổ thông,Xe New 24,Trắng,1468270.37,223.63000000000002,328349302.8431001,178.90400000000002,268.356,262679442.27448004,394019163.41172004,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-24 2.0,Đen,1468306.9158878506,217.58000000000004,319474218.7588786,174.06400000000005,261.09600000000006,255579375.0071029,383369062.51065433,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Đen,1167066.0433070867,269.28000000000003,314267544.14173234,215.42400000000004,323.136,251414035.31338587,377121052.97007877,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Trắng,1619542.55,192.61,311940090.55550003,154.08800000000002,231.132,249552072.44440004,374328108.66660005,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Kem,1214081.282798834,256.40999999999997,311302581.72244895,205.128,307.69199999999995,249042065.3779592,373563098.06693876,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000337002008000,Xe đạp Thống Nhất SK 24 ghi,Unknown,Unknown,Unknown,Ghi,1611079.3295454546,191.29,308183364.94875,153.032,229.54799999999997,246546691.95900002,369820037.9385,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,1000400050010000,Xe đạp Thống Nhất MTB SPD 27.5 17 Đen,Unknown,Unknown,Unknown,Đen,2824776.7512690355,108.9,307618188.213198,87.12,130.68,246094550.5705584,369141825.8558376,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000230002002000,Xe đạp Thống Nhất LD 26 Trắng,CITYBIKE_P,Xe phổ thông,Xe LD 26,Trắng,1688755.588,176.44,297964035.94672,141.15200000000002,211.72799999999998,238371228.75737602,357556843.136064,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,1000400050080010,Xe đạp Thống Nhất MTB SPD 27.5 17 Ghi,Unknown,Unknown,Unknown,Ghi,2880828.2786885244,101.31,291856712.9139344,81.048,121.572,233485370.33114752,350228055.49672127,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,100029005010000,Xe đạp Thống Nhất CPD 700C Đen,Unknown,Unknown,Unknown,Đen,2698279.3373493976,105.27000000000001,284047865.8427711,84.21600000000001,126.32400000000001,227238292.6742169,340857439.01132536,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,100029005080000,Xe đạp Thống Nhất CPD 700C Ghi,Unknown,Unknown,Unknown,Ghi,2697937.9573459714,98.11999999999999,264721672.37478667,78.496,117.74399999999999,211777337.89982936,317666006.849744,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000214004000000,Xe đạp Thống Nhất GN 05-26,CITYBIKE_P,Xe phổ thông,Xe GN 05-26,Unknown,1527429.0389972145,170.06,259754582.37186632,136.048,204.072,207803665.89749303,311705498.84623957,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Xanh,1230809.4880382775,206.03,253583678.8205263,164.824,247.236,202866943.05642107,304300414.58463156,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000333002008000,Xe đạp Thống Nhất Super 26 S ghi,Unknown,Unknown,Unknown,Ghi,2048264.5039370079,122.76,251444950.5033071,98.20800000000001,147.312,201155960.4026457,301733940.6039685,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,CITYBIKE_P,Xe phổ thông,Xe 219-26,Xanh Tím,1504673.627306273,156.42,235361048.7832472,125.136,187.70399999999998,188288839.02659777,282433258.5398966,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
