customer_code,customer_name,tax_code,address,province_id_old,province_id,province_name_extract,region,matched_alias,mapping_status
KH-00001,HỘ KINH DOANH TÚ ANH,257951869,"Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,152259109,"Đường Tạ Quang Bửu, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,129992862,"đường Trường Chinh, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00005,CÔNG TY TNHH ĐẠI LỢI,280049186,"Khu Liên cơ Võ Chí Công, số 258 Võ Chí Công, Khu 2 Xuân La, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00006,CÔNG TY TNHH CHI THÀNH,402385989,"đường Bờ Bao Tân Thắng, phường Sơn Kỳ, quận Tân Phú, TP Hồ Chí Minh",,30,TP. Hồ Chí Minh,Miền Nam,tp ho chi minh,MATCHED_REGEX
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,103675633,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,238229576,"Đường B4, Khu B, Khu công nghiệp Phố Nối A, Xã Lạc Hồng, Huyện Văn Lâm, Hưng Yên",,31,Hưng Yên,Miền Bắc,hung yen,MATCHED_REGEX
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,245025729,"Trần Phú, , Quận Ba Đình, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,236208249,"đường Bắc Sơn, Phường Hoàng Văn Thụ, Thành phố Thái Nguyên, Thái Nguyên",,54,Thái Nguyên,Miền Bắc,thai nguyen,MATCHED_REGEX
KH-00011,DOANH NGHIỆP TW NAM TIẾN,146999046,"ngõ Trần Cao Vân, Phường Phố Huế, Quận Hai Bà Trưng,TP.Hà Nội",,56,Thừa Thiên Huế,Miền Trung,thua thien hue,MATCHED_REGEX
KH-00012,HỘ KINH DOANH THIÊN AN,230261907,"Xã Thanh Lâm, Huyện Mê Linh, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00013,DOANH NGHIỆP TW THANH BÌNH,120638472,"Đường 206 KCN Phố Nối A, Xã Trưng Trắc, Huyện Văn Lâm, Hưng Yên",,31,Hưng Yên,Miền Bắc,hung yen,MATCHED_REGEX
KH-00014,HỘ KINH DOANH LONG PHÚ,227665061,"Phường Tiền An, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",,7,Bắc Ninh,Miền Bắc,bac ninh,MATCHED_REGEX
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,145176910,"Khu 12, Lâm Thao, Lâm Thao, Phú Thọ",,43,Phú Thọ,Miền Bắc,phu tho,MATCHED_REGEX
KH-00016,DOANH NGHIỆP TW VIỆT ANH,268122475,Trần Hưng Đạo -khu phố 3 - phường 3 Thị xã Quảng trị - Tỉnh Quảng Trị,,49,Quảng Trị,Miền Trung,quang tri,MATCHED_REGEX
KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,279893014,TT Hương Sơn- Phú Bình- Thái Nguyên,,54,Thái Nguyên,Miền Bắc,thai nguyen,MATCHED_REGEX
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,129056548,"phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,319500449,"Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,30,TP. Hồ Chí Minh,Miền Nam,tp ho chi minh,MATCHED_REGEX
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,222919308,"Tòa nhà FPT Cầu Giấy, số 17 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00021,HỘ KINH DOANH XÂY DỰNG,170772576,"4 Số 141 Lê Duẩn, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,262182474,"Ngõ 82, Tổ 30 Cụm 4 Đường Phú Thượng, Phường Phú Thượng, Quận Tây Hồ, Hà Nội, Việt Nam",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00023,CÔNG TY TNHH THANH BÌNH,239217728,"tòa nhà số 444 phố Hoàng Hoa Thám, Phường Thuỵ Khuê, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,223572625,"Phố Mỹ Lộ, Thị trấn Thiên Tôn, Huyện Hoa Lư, Tỉnh Ninh Bình, Việt Nam",,41,Ninh Bình,Miền Bắc,ninh binh,MATCHED_REGEX
KH-00025,DOANH NGHIỆP TW SƠN HÀ,201191735,"Nhà ông Nguyễn Ngọc Biên, ngã tư vòng xuyến đường Lê Doãn Ch, Phường Hải Thượng, Thị xã Nghi Sơn, Thanh Hoá",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,111542238,"Khu công nghiệp Lê Môn, phường Quảng Hưng, thành phố Thanh Hóa",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,213776915,"khu đấu giá Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,160558291,"A10 Chợ Việt Trì, Minh Nông, Việt Trì, Phú Thọ",,43,Phú Thọ,Miền Bắc,phu tho,MATCHED_REGEX
KH-00029,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,135626358,"Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố  Phan Thiết, Bình Thuận",,12,Bình Thuận,Miền Trung,binh thuan,MATCHED_REGEX
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,200349768,"Xã Đoan Bái, Huyện Hiệp Hoà, Tỉnh Bắc Giang, Việt Nam",,5,Bắc Giang,Miền Bắc,bac giang,MATCHED_REGEX
KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,196205964,"đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00032,HỘ KINH DOANH CHI THÀNH,117720070,"phố Thanh Lâm, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,214985928,"Ngõ Máy kéo, khu Liên Cơ, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00034,CÔNG TY TNHH BÌNH MINH,203838579,"Mẹ Thứ, Phường Hoà Xuân, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",,16,Đà Nẵng,Miền Trung,da nang,MATCHED_REGEX
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,271649068,"Trần Kế Xương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",,16,Đà Nẵng,Miền Trung,da nang,MATCHED_REGEX
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,171263180,"số 11B Cát Linh, Phường Quốc Tử Giám, Quận Đống đa, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,134122886,"ngách 23 ngõ 82 Phố Nguyễn Phúc Lai, Phường ô Chợ Dừa, Quận Đống đa, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,109280637,"Đường Hoàng Văn Thụ, Tổ 1, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",,54,Thái Nguyên,Miền Bắc,thai nguyen,MATCHED_REGEX
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,183629493,"Toà nhà Sun Home 2.1, khu phố 6, Phường An Thới, Thành phố Phú Quốc, Kiên Giang",,33,Kiên Giang,Miền Nam,kien giang,MATCHED_REGEX
KH-00040,CÔNG TY TNHH VẠN LỢI,251901453,"đường Nguyễn Thái Học, Phường Quang Trung, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam",,40,Nghệ An,Miền Trung,nghe an,MATCHED_SUBSTRING_PRIMARY
KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,216963363,"Phường Trúc Lâm, thị xã Nghi Sơn, tỉnh Thanh Hóa",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
