customer_code,customer_name,tax_code,address,province_id,customer_tier,is_active,source_email_file,source_message_id,source_so_number,created_at,updated_at
KH-00703,CÔNG TY CỔ PHẦN NAM TIẾN,111014028,"Phường Phú Diễn, TP Hà Nội",1,STANDARD,true,BH26_0938.eml,<177639809697.27.6670988768861278913@namtien.vn>,BH26.0938,2026-05-19T21:15:48,2026-05-19T21:15:48
KH-00704,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH,150425614,"Xã Hồng Sơn, Huyện Mỹ Đức, Hà Nội Tel : 0992098027 Gồm 13 mặt hàng, 30 chiếc,",1,STANDARD,true,BH26_0944.eml,<177639809700.27.6553587738384543240@vietanh.vn>,BH26.0944,2026-05-19T21:15:50,2026-05-19T21:15:50
KH-00705,HỘ KINH DOANH ĐẠI DƯƠNG,221608347,"Đường Núi Vàng, Tổ 9, Phường Trung Sơn, Ninh Bình",41,STANDARD,true,BH26_0950.eml,<177639809694.27.14083980817542670947@daiduong.vn>,BH26.0950,2026-05-19T21:15:51,2026-05-19T21:15:51
KH-00706,CÔNG TY CỔ PHẦN THƯƠNG MẠI VẠN LỢI,158110427,"đường Điện Biên, tổ dân phố số 8 phường Minh Tân, thành phố Yên Bái, tỉnh Yên Bái, Việt Nam",19,STANDARD,true,BH26_0963.eml,<177639809709.27.12552662823614133900@vanloi.vn>,BH26.0963,2026-05-19T21:15:53,2026-05-19T21:15:53
KH-00707,CỬA HÀNG XE ĐẠP TÚ ANH,249644643,"Thôn Tiên Tảo, Xã Hà Nam, TP Hải Phòng Tel : 0986687000 Gồm 16 mặt hàng, 40 chiếc,",24,STANDARD,true,BH26_0970.eml,<177639809708.27.13941720072365397720@tuanh.vn>,BH26.0970,2026-05-19T21:15:54,2026-05-19T21:15:54
KH-00708,DOANH NGHIỆP TW KHẢI HOÀN,198061367,"Phường An Dương, TP Hải Phòng",27,STANDARD,true,BH26_1002.eml,<177639809725.27.388013639099795099@khaihoan.vn>,BH26.1002,2026-05-19T21:16:01,2026-05-19T21:16:01
KH-00709,HỘ KINH DOANH QUANG VINH,150403563,"phố 3, Xã Yên Khánh, Tỉnh Ninh Bình",41,STANDARD,true,BH26_1008.eml,<177639809719.27.13501312085701517929@quangvinh.vn>,BH26.1008,2026-05-19T21:16:02,2026-05-19T21:16:02
KH-00710,CÔNG TY TNHH THANH BÌNH,235384734,"An Dương Vương, Phường Phú Thượng, TP Hà Nội Tel : 0949124175 Gồm 1 mặt hàng, 1 chiếc,",1,STANDARD,true,BH26_1017.eml,<177639809733.27.3384756894773047137@thanhbinh.vn>,BH26.1017,2026-05-19T21:16:03,2026-05-19T21:16:03
KH-00711,CÔNG TY CỔ PHẦN TÂY BẮC,263969915,"Lý Tự Trọng, Xã Liên Hương, Lâm Đồng Tel : 0833874407 Gồm 1 mặt hàng, 3 chiếc,",35,STANDARD,true,BH26_1018.eml,<177639809734.27.16131418598117953727@taybac.vn>,BH26.1018,2026-05-19T21:16:03,2026-05-19T21:16:03
KH-00712,CÔNG TY TNHH THƯƠNG MẠI TRƯỜNG THỊNH,144386888,"Thôn Quán Rẽ, Xã An Khánh, Thành phố Hải Phòng",27,STANDARD,true,BH26_1024.eml,<177639809736.27.4360431947084996517@truongthinh.vn>,BH26.1024,2026-05-19T21:16:04,2026-05-19T21:16:04
KH-00713,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÌNH MINH,100519428,"C17, Phường Mường Thanh, Tỉnh Điện Biên Tel : 0817022478 Gồm 7 mặt hàng, 10 chiếc,",19,STANDARD,true,BH26_1026.eml,<177639809732.27.2015657872592376414@binhminh.vn>,BH26.1026,2026-05-19T21:16:04,2026-05-19T21:16:04
KH-00714,CỬA HÀNG XE ĐẠP BÌNH MINH,200808043,"khu Minh Khai, Phường Tuần Châu, Tỉnh Quảng Ninh",48,STANDARD,true,BH26_1046.eml,<177639809750.27.18148890207482997228@binhminh.vn>,BH26.1046,2026-05-19T21:16:08,2026-05-19T21:16:08
KH-00715,HỘ KINH DOANH XÂY DỰNG,271132966,"Triệu Quốc Đạt, Phố Giắt, Xã Triệu Sơn, Thanh Hóa",55,STANDARD,true,BH26_1054.eml,<177639809743.27.10508656568968011417@xaydung.vn>,BH26.1054,2026-05-19T21:16:09,2026-05-19T21:16:09
KH-00716,HỘ KINH DOANH LÊ ANH,169723898,"đường Lê Hồng Phong, thôn số 1, Xã Bảo Thắng, Lào Cai",37,STANDARD,true,BH26_1066.eml,<177639809740.27.1049242918902924005@leanh.vn>,BH26.1066,2026-05-19T21:16:11,2026-05-19T21:16:11
KH-00717,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,136311693,"Xã Mậu A, Lào Cai",37,STANDARD,true,BH26_1068.eml,<177639809741.27.15704498096547442515@quangvinh.vn>,BH26.1068,2026-05-19T21:16:11,2026-05-19T21:16:11
KH-00718,CÔNG TY CỔ PHẦN QUANG VINH,160913374,"Điệp Sơn, Phường Duy Tiên, Ninh Bình",41,STANDARD,true,BH26_1080.eml,<177639809754.27.15733464432113445673@quangvinh.vn>,BH26.1080,2026-05-19T21:16:13,2026-05-19T21:16:13
KH-00719,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRƯỜNG THỊNH,141176498,"Xã Ba Vì, TP Hà Nội",1,STANDARD,true,BH26_1083.eml,<177639809752.27.13695170605838939561@truongthinh.vn>,BH26.1083,2026-05-19T21:16:13,2026-05-19T21:16:13
KH-00720,HỘ KINH DOANH KHẢI HOÀN,106306281,"Hà Huy Tập - TT Cẩm Xuyên, Xã Cẩm Xuyên, Tỉnh Hà Tĩnh Tel : 0791885113 Gồm 11 mặt hàng, 26 chiếc,",25,STANDARD,true,BH26_1090.eml,<177639809773.27.18155946817251999957@khaihoan.vn>,BH26.1090,2026-05-19T21:16:14,2026-05-19T21:16:14
KH-00721,DOANH NGHIỆP TW MINH PHƯƠNG,100041761,"Đường số 2, Khu công nghiệp Nhựt Chánh, Xã Bình Đức, tỉnh Tây Ninh",52,STANDARD,true,BH26_1094.eml,<177639809770.27.11004797254769853692@minhphuong.vn>,BH26.1094,2026-05-19T21:16:15,2026-05-19T21:16:15
KH-00722,CÔNG TY TNHH PHÚ THỊNH,223301421,"chợ mễ, Xã Mễ Sở, Tỉnh Hưng Yên Tel : 0793743905 Gồm 15 mặt hàng, 50 chiếc,",31,STANDARD,true,BH26_1111.eml,<177639809759.27.6600415335292071104@phuthinh.vn>,BH26.1111,2026-05-19T21:16:18,2026-05-19T21:16:18
KH-00723,CÔNG TY CỔ PHẦN THANH BÌNH,136032045,"Khu dân cư Phú Cường, Phường Phong Châu, Phú Thọ",43,STANDARD,true,BH26_1116.eml,<177639809761.27.17077328287875780285@thanhbinh.vn>,BH26.1116,2026-05-19T21:16:19,2026-05-19T21:16:19
KH-00724,DOANH NGHIỆP TW VIỆT ANH,280690762,"Khu Đồng Hàng, Xã Cẩm Khê, Tỉnh Phú Thọ Tel : 0922887593 Gồm 2 mặt hàng, 10 chiếc,",43,STANDARD,true,BH26_1118.eml,<177639809763.27.3266039714004515930@vietanh.vn>,BH26.1118,2026-05-19T21:16:19,2026-05-19T21:16:19
KH-00725,CÔNG TY CỔ PHẦN TOÀN THẮNG,238384879,"Khu 2, thị trấn Thanh Ba, Xã Thanh Ba, Tỉnh Phú Thọ",43,STANDARD,true,BH26_1122.eml,<177639809764.27.4577877559773840490@toanthang.vn>,BH26.1122,2026-05-19T21:16:20,2026-05-19T21:16:20
KH-00726,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐÔNG NAM,112508571,"đường Phương Canh, tổ dân phố số 7, Phường Xuân Phương, TP Hà Nội",1,STANDARD,true,BH26_1124.eml,<177639809765.27.714342855657018000@dongnam.vn>,BH26.1124,2026-05-19T21:16:20,2026-05-19T21:16:20
KH-00727,HỘ KINH DOANH PHÚ THỊNH,157703000,"Phan Đình Phùng, Phường Cẩm Thành, Quảng Ngãi",47,STANDARD,true,BH26_1129.eml,<177639809790.27.8164038715270004049@phuthinh.vn>,BH26.1129,2026-05-19T21:16:21,2026-05-19T21:16:21
KH-00728,HỘ KINH DOANH SƠN HÀ,219583688,"Trần Đăng Ninh, Tổ 6, Phường Quyết Tâm, Thành phố Sơn La, Sơn La Tel : 0717753271 Gồm 10 mặt hàng, 21 chiếc,",51,STANDARD,true,BH26_1134.eml,<177639809793.27.8302321701040178056@sonha.vn>,BH26.1134,2026-05-19T21:16:22,2026-05-19T21:16:22
KH-00729,CÔNG TY CỔ PHẦN THƯƠNG MẠI HÙNG CƯỜNG,110307744,"Xã Thọ Xuân, Thanh Hóa",55,STANDARD,true,BH26_1135.eml,<177639809794.27.15492735718283483760@hungcuong.vn>,BH26.1135,2026-05-19T21:16:22,2026-05-19T21:16:22
KH-00730,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,178025905,"Khu Tân Hợp, Xã Tân Lạc, Phú Thọ",43,STANDARD,true,BH26_1148.eml,<177639809781.27.13576092494487635801@phucan.vn>,BH26.1148,2026-05-19T21:16:25,2026-05-19T21:16:25
KH-00731,CÔNG TY TNHH THƯƠNG MẠI ĐÔNG NAM,181396459,"La Văn Cầu, Xã Nam Sách, Thành phố Hải Phòng",27,STANDARD,true,BH26_1152.eml,<177639809787.27.14359322074790055445@dongnam.vn>,BH26.1152,2026-05-19T21:16:26,2026-05-19T21:16:26
