customer_code,customer_name,address,province_name_extract,province_id,province_name
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,"Trần Phú, , Quận Ba Đình, Hà Nội",Hà Nội,1,Hà Nội
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,"Đường B4, Khu B, Khu công nghiệp Phố Nối A, Xã Lạc Hồng, Huyện Văn Lâm, Hưng Yên",Hưng Yên,31,Hưng Yên
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,"đường Bắc Sơn, Phường Hoàng Văn Thụ, Thành phố Thái Nguyên, Thái Nguyên",Thái Nguyên,54,Thái Nguyên
KH-00011,DOANH NGHIỆP TW NAM TIẾN,"ngõ Trần Cao Vân, Phường Phố Huế, Quận Hai Bà Trưng,TP.Hà Nội",Hà Nội,1,Hà Nội
KH-00012,HỘ KINH DOANH THIÊN AN,"Xã Thanh Lâm, Huyện Mê Linh, Hà Nội",Hà Nội,1,Hà Nội
KH-00013,DOANH NGHIỆP TW THANH BÌNH,"Đường 206 KCN Phố Nối A, Xã Trưng Trắc, Huyện Văn Lâm, Hưng Yên",Hưng Yên,31,Hưng Yên
KH-00014,HỘ KINH DOANH LONG PHÚ,"Phường Tiền An, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",Bắc Ninh,7,Bắc Ninh
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,"Khu 12, Lâm Thao, Lâm Thao, Phú Thọ",Phú Thọ,43,Phú Thọ
KH-00016,DOANH NGHIỆP TW VIỆT ANH,Trần Hưng Đạo -khu phố 3 - phường 3 Thị xã Quảng trị - Tỉnh Quảng Trị,Quảng Trị,49,Quảng Trị
KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Thái Nguyên,54,Thái Nguyên
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,"phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",Hà Nội,1,Hà Nội
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,"Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,30,TP. Hồ Chí Minh
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,"Tòa nhà FPT Cầu Giấy, số 17 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Hà Nội,1,Hà Nội
KH-00021,HỘ KINH DOANH XÂY DỰNG,"4 Số 141 Lê Duẩn, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",Hà Nội,1,Hà Nội
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,"Ngõ 82, Tổ 30 Cụm 4 Đường Phú Thượng, Phường Phú Thượng, Quận Tây Hồ, Hà Nội, Việt Nam",Hà Nội,1,Hà Nội
KH-00023,CÔNG TY TNHH THANH BÌNH,"tòa nhà số 444 phố Hoàng Hoa Thám, Phường Thuỵ Khuê, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",Hà Nội,1,Hà Nội
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,"Phố Mỹ Lộ, Thị trấn Thiên Tôn, Huyện Hoa Lư, Tỉnh Ninh Bình, Việt Nam",Ninh Bình,41,Ninh Bình
KH-00025,DOANH NGHIỆP TW SƠN HÀ,"Nhà ông Nguyễn Ngọc Biên, ngã tư vòng xuyến đường Lê Doãn Ch, Phường Hải Thượng, Thị xã Nghi Sơn, Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,"Khu công nghiệp Lê Môn, phường Quảng Hưng, thành phố Thanh Hóa",Thanh Hóa,55,Thanh Hóa
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,"khu đấu giá Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Hà Nội,1,Hà Nội
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,"A10 Chợ Việt Trì, Minh Nông, Việt Trì, Phú Thọ",Phú Thọ,43,Phú Thọ
