customer_code,customer_name,tax_code,address,province_id,customer_tier,is_active,created_at,updated_at
KH-00703,CÔNG TY CỔ PHẦN NAM TIẾN,111014028,"Phường Phú Diễn, TP Hà Nội",10,STANDARD,true,2026-05-08T13:58:20,2026-05-08T13:58:20
KH-00704,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH,150425614,"Xã Hồng Sơn, Huyện Mỹ Đức, Hà Nội Tel : 0992098027 Gồm 13 mặt hàng, 30 chiếc,",10,STANDARD,true,2026-05-08T13:58:21,2026-05-08T13:58:21
KH-00705,HỘ KINH DOANH ĐẠI DƯƠNG,221608347,"Đường Núi Vàng, Tổ 9, Phường Trung Sơn, Ninh Bình",30,STANDARD,true,2026-05-08T13:58:22,2026-05-08T13:58:22
KH-00706,CÔNG TY CỔ PHẦN THƯƠNG MẠI VẠN LỢI,158110427,"đường Điện Biên, tổ dân phố số 8 phường Minh Tân, thành phố Yên Bái, tỉnh Yên Bái, Việt Nam",69,STANDARD,true,2026-05-08T13:58:25,2026-05-08T13:58:25
KH-00707,CỬA HÀNG XE ĐẠP TÚ ANH,249644643,"Thôn Tiên Tảo, Xã Hà Nam, TP Hải Phòng Tel : 0986687000 Gồm 16 mặt hàng, 40 chiếc,",9,STANDARD,true,2026-05-08T13:58:26,2026-05-08T13:58:26
KH-00708,DOANH NGHIỆP TW KHẢI HOÀN,198061367,"Phường An Dương, TP Hải Phòng",20,STANDARD,true,2026-05-08T13:58:32,2026-05-08T13:58:32
KH-00709,HỘ KINH DOANH QUANG VINH,150403563,"phố 3, Xã Yên Khánh, Tỉnh Ninh Bình",30,STANDARD,true,2026-05-08T13:58:33,2026-05-08T13:58:33
KH-00710,CÔNG TY TNHH THANH BÌNH,235384734,"An Dương Vương, Phường Phú Thượng, TP Hà Nội Tel : 0949124175 Gồm 1 mặt hàng, 1 chiếc,",10,STANDARD,true,2026-05-08T13:58:35,2026-05-08T13:58:35
KH-00711,CÔNG TY CỔ PHẦN TÂY BẮC,263969915,"Lý Tự Trọng, Xã Liên Hương, Lâm Đồng Tel : 0833874407 Gồm 1 mặt hàng, 3 chiếc,",,STANDARD,true,2026-05-08T13:58:35,2026-05-08T13:58:35
KH-00712,CÔNG TY TNHH THƯƠNG MẠI TRƯỜNG THỊNH,144386888,"Thôn Quán Rẽ, Xã An Khánh, Thành phố Hải Phòng",20,STANDARD,true,2026-05-08T13:58:36,2026-05-08T13:58:36
KH-00713,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÌNH MINH,100519428,"C17, Phường Mường Thanh, Tỉnh Điện Biên Tel : 0817022478 Gồm 7 mặt hàng, 10 chiếc,",69,STANDARD,true,2026-05-08T13:58:36,2026-05-08T13:58:36
