message_id,from_address,received_at,attachment_name,processing_status
<177639809687.27.2053695854357871005@longphu.vn>,dathang@longphu.vn,2026-03-01T14:28:41+07:00,BH26_0935.pdf,SUCCESS
<177639809696.27.1453607047024582931@longphu.vn>,dathang@longphu.vn,2026-03-01T08:01:22+07:00,BH26_0936.pdf,SUCCESS
<177639809697.27.11596357474505186610@longphu.vn>,dathang@longphu.vn,2026-03-01T17:39:23+07:00,BH26_0937.pdf,SUCCESS
<177639809697.27.6670988768861278913@namtien.vn>,dathang@namtien.vn,2026-03-01T14:00:16+07:00,BH26_0938.pdf,PARTIAL_SUCCESS
<177639809699.27.15777827095392894769@khaihoan.vn>,dathang@khaihoan.vn,2026-03-01T08:47:33+07:00,BH26_0939.pdf,SUCCESS
<177639809698.27.1283066103397798384@quangvinh.vn>,dathang@quangvinh.vn,2026-03-01T14:52:42+07:00,BH26_0940.pdf,SUCCESS
<177639809698.27.14260593838171589262@taybac.vn>,dathang@taybac.vn,2026-03-01T07:56:56+07:00,BH26_0941.pdf,SUCCESS
<177639809699.27.7012091250016467664@dailoi.vn>,dathang@dailoi.vn,2026-03-01T16:17:13+07:00,BH26_0942.pdf,SUCCESS
<177639809699.27.15386621650891716399@vanloi.vn>,dathang@vanloi.vn,2026-03-01T16:40:23+07:00,BH26_0943.pdf,SUCCESS
<177639809700.27.6553587738384543240@vietanh.vn>,dathang@vietanh.vn,2026-03-01T16:44:58+07:00,BH26_0944.pdf,PARTIAL_SUCCESS
<177639809700.27.12946299709363366021@dailoi.vn>,dathang@dailoi.vn,2026-03-01T10:51:21+07:00,BH26_0945.pdf,SUCCESS
<177639809701.27.1317143838265288107@vietanh.vn>,dathang@vietanh.vn,2026-03-01T07:35:58+07:00,BH26_0946.pdf,SUCCESS
<177639809696.27.801519116549617023@toanthang.vn>,dathang@toanthang.vn,2026-03-01T16:12:36+07:00,BH26_0947.pdf,SUCCESS
<177639809696.27.2302636251494628997@toanthang.vn>,dathang@toanthang.vn,2026-03-01T07:29:23+07:00,BH26_0948.pdf,SUCCESS
<177639809695.27.7008421793132065041@khaihoan.vn>,dathang@khaihoan.vn,2026-03-01T13:24:52+07:00,BH26_0949.pdf,SUCCESS
<177639809694.27.14083980817542670947@daiduong.vn>,dathang@daiduong.vn,2026-03-01T09:30:59+07:00,BH26_0950.pdf,PARTIAL_SUCCESS
<177639809694.27.5125821543982213238@dongnam.vn>,dathang@dongnam.vn,2026-03-01T13:28:02+07:00,BH26_0951.pdf,SUCCESS
