order_id,so_number,product_code,quantity,unit_price,line_total
,BH26.0935,000104002009000,1,1898148,1898148
,BH26.0936,000230002013000,1,2861111,2861111
,BH26.0937,000103002009000,1,1935185,1935185
,BH26.0939,000225002023000,2,1616111,3232222
,BH26.0939,000225002002000,3,1616111,4848333
,BH26.0939,000225002015000,1,1616111,1616111
,BH26.0939,000225002025000,2,1616111,3232222
,BH26.0939,000209002007000,1,1469444,1469444
,BH26.0939,000336002004000,1,1377777,1377777
,BH26.0939,000224002023000,1,1555000,1555000
,BH26.0939,000225002023000,1,1616111,1616111
,BH26.0939,000230002009000,1,1799444,1799444
,BH26.0939,000230002013000,2,1799444,3598888
,BH26.0939,000230002023000,3,1799444,5398332
,BH26.0939,000217003001000,1,1591666,1591666
,BH26.0939,000217003008000,3,1591666,4774998
,BH26.0939,000217003005000,1,1591666,1591666
,BH26.0939,000216003001000,2,1530555,3061110
,BH26.0939,1040010000080000,1,1326851,1326851
,BH26.0939,000337002001000,1,1622222,1622222
,BH26.0939,000125002009000,2,1310555,2621110
,BH26.0939,000331002001000,1,1799444,1799444
,BH26.0939,1000270020150000,1,943888,943888
,BH26.0939,1000270020220000,3,943888,2831664
,BH26.0939,1030010000080000,2,1262037,2524074
,BH26.0939,1040010000080000,5,1326851,6634255
,BH26.0939,000105002004000,2,1132407,2264814
,BH26.0939,000105002013000,2,1132407,2264814
,BH26.0939,000106002001000,2,1262037,2524074
,BH26.0939,000106002013000,2,1262037,2524074
,BH26.0939,000124002009000,2,1111111,2222222
,BH26.0939,000124002004000,1,1111111,1111111
,BH26.0939,000336002001000,2,1377777,2755554
,BH26.0939,000336002022000,1,1377777,1377777
,BH26.0940,000217003008000,1,1591666,1591666
,BH26.0940,000216003008000,1,1530555,1530555
,BH26.0940,000216003001000,1,1530555,1530555
,BH26.0940,000331002001000,1,1799444,1799444
,BH26.0940,000337002008000,1,1622222,1622222
,BH26.0940,000337002001000,1,1622222,1622222
,BH26.0940,000132002022001,1,1310555,1310555
,BH26.0940,000336002001000,1,1377777,1377777
,BH26.0940,000336002022000,1,1377777,1377777
,BH26.0940,1000240020090000,2,943888,1887776
,BH26.0940,1000270020150000,2,943888,1887776
,BH26.0940,1000270020220000,2,943888,1887776
,BH26.0940,1000210020090000,1,882777,882777
,BH26.0940,000102002023000,1,1132407,1132407
,BH26.0940,000102002009000,1,1132407,1132407
,BH26.0941,1000240020090000,1,943888,943888
,BH26.0941,1000240020220000,1,943888,943888
,BH26.0941,000230002023000,4,1799444,7197776
,BH26.0941,000230002013000,3,1799444,5398332
,BH26.0941,000230002009000,3,1799444,5398332
,BH26.0941,1000240020220000,3,943888,2831664
